id;user_id;tanggal;permintaan;ketersediaan;harga;berita;created_at;updated_at
1;2;01/08/21;5082;2621;0;Naik;2022-07-13;2022-07-13
2;2;02/08/21;1804;8280;0;Turun;2022-07-13;2022-07-13
3;2;03/08/21;8464;4266;0;Turun;2022-07-13;2022-07-13
4;2;04/08/21;5827;5112;0;Tetap;2022-07-13;2022-07-13
5;2;05/08/21;5870;5499;0;Naik;2022-07-13;2022-07-13
6;2;06/08/21;3082;1083;0;Tetap;2022-07-13;2022-07-13
7;2;07/08/21;1745;3251;0;Tetap;2022-07-13;2022-07-13
8;2;08/08/21;6127;6962;0;Naik;2022-07-13;2022-07-13
9;2;09/08/21;5683;3336;0;Turun;2022-07-13;2022-07-13
10;2;10/08/21;4125;7828;0;Naik;2022-07-13;2022-07-13
11;2;11/08/21;8220;2102;0;Turun;2022-07-13;2022-07-13
12;2;12/08/21;1043;3741;0;Turun;2022-07-13;2022-07-13
13;2;13/08/21;7206;8300;0;Tetap;2022-07-13;2022-07-13
14;2;14/08/21;4736;8743;0;Naik;2022-07-13;2022-07-13
15;2;15/08/21;5663;4307;0;Tetap;2022-07-13;2022-07-13
16;2;16/08/21;9147;2130;0;Tetap;2022-07-13;2022-07-13
17;2;17/08/21;2553;5907;0;Naik;2022-07-13;2022-07-13
18;2;18/08/21;5220;3226;0;Turun;2022-07-13;2022-07-13
19;2;19/08/21;8769;8812;0;Naik;2022-07-13;2022-07-13
20;2;20/08/21;6671;7744;0;Turun;2022-07-13;2022-07-13
21;2;21/08/21;4614;2337;0;Turun;2022-07-13;2022-07-13
22;2;22/08/21;7759;5568;0;Tetap;2022-07-13;2022-07-13
23;2;23/08/21;7545;7293;0;Naik;2022-07-13;2022-07-13
24;2;24/08/21;8826;9428;0;Tetap;2022-07-13;2022-07-13
25;2;25/08/21;9215;9366;0;Tetap;2022-07-13;2022-07-13
26;2;26/08/21;2562;9934;0;Naik;2022-07-13;2022-07-13
27;2;27/08/21;7461;5453;0;Turun;2022-07-13;2022-07-13
28;2;28/08/21;7760;6237;0;Naik;2022-07-13;2022-07-13
29;2;29/08/21;4122;1681;0;Turun;2022-07-13;2022-07-13
30;2;30/08/21;7681;9387;0;Turun;2022-07-13;2022-07-13
31;2;31/08/21;5078;5968;0;Tetap;2022-07-13;2022-07-13
32;2;01/09/21;4781;4897;0;Naik;2022-07-13;2022-07-13
33;2;02/09/21;1743;2786;0;Tetap;2022-07-13;2022-07-13
34;2;03/09/21;1122;5458;0;Tetap;2022-07-13;2022-07-13
35;2;04/09/21;7824;1834;0;Naik;2022-07-13;2022-07-13
36;2;05/09/21;9975;9370;0;Turun;2022-07-13;2022-07-13
37;2;06/09/21;2296;1516;0;Naik;2022-07-13;2022-07-13
38;2;07/09/21;4825;6178;0;Turun;2022-07-13;2022-07-13
39;2;08/09/21;7747;3364;0;Turun;2022-07-13;2022-07-13
40;2;09/09/21;6248;2870;0;Tetap;2022-07-13;2022-07-13
41;2;10/09/21;9027;1231;0;Naik;2022-07-13;2022-07-13
42;2;11/09/21;3197;9385;0;Tetap;2022-07-13;2022-07-13
43;2;12/09/21;2700;6459;0;Tetap;2022-07-13;2022-07-13
44;2;13/09/21;3479;5918;0;Naik;2022-07-13;2022-07-13
45;2;14/09/21;2113;6856;0;Turun;2022-07-13;2022-07-13
46;2;15/09/21;2824;2936;0;Naik;2022-07-13;2022-07-13
47;2;16/09/21;3300;5639;0;Turun;2022-07-13;2022-07-13
48;2;17/09/21;2733;6940;0;Turun;2022-07-13;2022-07-13
49;2;18/09/21;4914;7070;0;Tetap;2022-07-13;2022-07-13
50;2;19/09/21;4032;7625;0;Naik;2022-07-13;2022-07-13
51;2;20/09/21;6578;6697;0;Tetap;2022-07-13;2022-07-13
52;2;21/09/21;3619;3828;0;Tetap;2022-07-13;2022-07-13
53;2;22/09/21;6731;3719;0;Naik;2022-07-13;2022-07-13
54;2;23/09/21;1427;6746;0;Turun;2022-07-13;2022-07-13
55;2;24/09/21;2385;5226;0;Naik;2022-07-13;2022-07-13
